id,type,name,time,dangerous,legal,Remarks,lat,lng
,urban,坑口站A出口,Daytime,N,Y,,22.3160090400,114.2638752000
,urban,厚德商場,Daytime,Y,N,巴士站尾,22.3170868300,114.2657662000
,urban,厚德村口,Midnight,Y,N,,22.3168841300,114.2645204000
,urban,清水灣半島,Daytime,N,N,閘口,22.3075399900,114.2672618000
,urban,景林的士站,Daytime,N,Y,閘內，留意入閘時間,22.3225425200,114.2600460000
,urban,新都城二期的士站,Daytime,N,Y,室內總站,22.3229775900,114.2583651000
,urban,寶琳站的士站,Daytime,N,Y,,22.3225425200,114.2575642000
,urban,慧安園,Daytime,N,Y,,22.3243223500,114.2543407000
,urban,科大北閘,Daytime,N,Y,,22.3387093500,114.2623524000
,urban,清水灣二灘,Daytime,N,Y,,22.2870422300,114.2867874000
,NT,清水灣二灘,Daytime,N,Y,,22.2871386400,114.2869104000
,urban,清水灣郊野公園,PM,N,N,,22.2915814200,114.3016077000
,urban,西貢廟口,"Daytime; Midnight",N,N,停車場入少少,22.3814383700,114.2707201000
,urban,西貢碼頭,"Daytime; Midnight",N,Y,,22.3818363600,114.2739288000
,NT,西貢碼頭,"Daytime; Midnight",N,Y,,22.3817646700,114.2736914000
,urban,西貢東壩,Daytime,N,N,迴旋處反方向排，亭前為頭位,22.3654748600,114.3740420000
,NT,西貢東壩,Daytime,N,N,迴旋處反方向排，亭前為頭位,22.3655094600,114.3740766000
,urban,烏溪沙站,Daytime,N,Y,,22.4288349200,114.2445606000
,NT,烏溪沙站,Daytime,N,Y,,22.4289028400,114.2445384000
,urban,利安的士站,"Daytime; Midnight",N,Y,,22.4255066200,114.2406259000
,NT,利安的士站,"Daytime; Midnight",N,Y,,22.4256041800,114.2408939000
,NT,錦英苑的士站,"Daytime; Midnight",N,Y,,22.4232811700,114.2370790000
,urban,錦英苑的士站,"Daytime; Midnight",N,Y,,22.4237047700,114.2371914000
,urban,慈正邨閘口,Daytime,Y,N,,22.3501264900,114.2012100000
,urban,秀茂坪南邨,Daytime,Y,N,閘口,22.3153046900,114.2362442000
,urban,瑪嘉烈K座,Daytime,N,Y,,22.3413802800,114.1345896000
,urban,瑪嘉烈醫院的士站,Daytime,N,Y,,22.3405651900,114.1344389000
,urban,大連排道工業街口,Midnight,N,N,路口7-11門口,22.3628172500,114.1336560000
,urban,大連排道KCC,Daytime,N,Y,,22.3618675400,114.1329631000
,urban,葵芳邨,"Daytime; Midnight",Y,N,閘口,22.3597260700,114.1283887000
,urban,葵芳站的士站,Daytime,N,Y,,22.3560556800,114.1277218000
,urban,葵芳新都會的士站,Daytime,N,Y,,22.3570683700,114.1272723000
,urban,葵芳新都會,Daytime,Y,N,巴士站,22.3578143000,114.1262003000
,urban,葵涌廣場,Daytime,Y,N,,22.3583033600,114.1279392000
,urban,葵盛東商場,Daytime,Y,N,閘口,22.3635471300,114.1267882000
,urban,荃灣西站的士站,Daytime,N,Y,,22.3670643900,114.1109013000
,urban,如心廣場的士站,Daytime,N,Y,跟酒店牌入,22.3687785500,114.1127735000
,urban,禾笛街的士站,Daytime,N,Y,,22.3693960500,114.1140579000
,urban,海濱花園,Daytime,Y,N,迴旋處,22.3614130700,114.1126747000
,urban,荃灣有線,Midnight,N,N,有線大樓門口,22.3725576200,114.1069789000
,urban,荃灣TML,PM,N,N,TML門口,22.3733183800,114.1059020000
,urban,南豐紗廠,Daytime,Y,N,,22.3744743300,114.1101652000
,urban,荃灣港安醫院,Daytime,N,Y,,22.3764404400,114.1046917000
,urban,荃威花園,Daytime,Y,N,踏口,22.3791030800,114.1040890000
,urban,荃灣中心,Daytime,Y,N,閘口出口,22.3787029400,114.1074433000
,urban,愉景新城 美環街,Daytime,Y,N,燈位禁區前,22.3768232800,114.1107728000
,urban,愉景新城的士站,Daytime,N,Y,,22.3764206800,114.1126130000
,urban,荃灣站,Daytime,N,Y,,22.3726070200,114.1189880000
,NT,荃灣站,Daytime,N,Y,,22.3726169000,114.1189336000
,urban,葵涌邨橋底,"Daytime; Midnight",Y,N,橋底,22.3682746800,114.1272427000
,urban,石頭街,Daytime,Y,N,路口,22.3664073700,114.1240761000
,urban,石蔭商場,Daytime,Y,N,,22.3717450000,114.1385305000
,urban,安蔭邨的士站,Daytime,N,Y,,22.3698431100,114.1421082000
,urban,石籬一邨的士站,Daytime,N,Y,,22.3623887100,114.1383860000
,urban,石籬商場的士站,Daytime,N,Y,,22.3656737900,114.1386811000
,urban,麗晶中心,PM,Y,N,,22.3670433900,114.1383242000
,urban,雍雅軒,"Daytime; Midnight",Y,N,,22.3661023300,114.1370201000
,urban,葵興站的士站,Daytime,N,Y,,22.3632322100,114.1315836000
,urban,悅來酒店,Daytime,Y,N,,22.3689625700,114.1212468000
,urban,街市街麥當勞,"Daytime; Midnight",Y,N,,22.3720611600,114.1163859000
,urban,深井碧堤,Daytime,N,Y,,22.3671631800,114.0612386000
,urban,海韻花園,"Daytime; Midnight",Y,N,巴士站,22.3677121400,114.0615449000
,urban,黃金海岸的士站,"Daytime; Midnight",N,N,,22.3716875700,113.9930572000
,NT,三聖恒福花園的士站,Daytime,N,Y,,22.3821948800,113.9776149000
,urban,黃金海岸酒店,Daytime,N,N,,22.3723939900,113.9895819000
,urban,顯徑迴旋處,Daytime,Y,N,閘口,22.3623090500,114.1704575000
,urban,仁安醫院的士站,Daytime,N,Y,,22.3608122400,114.1752974000
,urban,隆亨山邊閘口,Daytime,N,N,,22.3658114900,114.1769202000
,urban,大圍的士站,Daytime,N,Y,,22.3735919300,114.1785158000
,urban,大圍站室內的士站,Daytime,N,Y,最尾一條坑,22.3722334400,114.1788122000
,urban,沙田市中心的士站,"Daytime; Midnight",N,Y,,22.3821183100,114.1885143000
,urban,新城市廣場的士站,Daytime,N,Y,,22.3817675700,114.1887563000
,urban,新城市廣場三期的士站,Daytime,N,Y,,22.3798360400,114.1872891000
,urban,沙田大會堂的士站,Daytime,N,Y,,22.3821281900,114.1898925000
,urban,沙田廣場,Daytime,Y,N,,22.3831557000,114.1894800000
,urban,美田邨,"Daytime; Midnight",Y,N,閘口,22.3766003700,114.1709897000
,urban,美林邨的士站,Daytime,N,Y,,22.3776970400,114.1752233000
,urban,新翠的士站,Daytime,N,Y,閘內，留意入閘時間,22.3704328200,114.1820651000
,urban,秦石的士站,Daytime,N,Y,,22.3729225600,114.1858541000
,urban,沙角邨,"Daytime; Midnight",Y,N,路口,22.3766670600,114.1939161000
,urban,愉翠苑,Daytime,Y,N,閘口,22.3822751500,114.2044950000
,urban,威爾斯親王醫院的士站,Daytime,N,Y,平台,22.3796792000,114.2019065000
,NT,威爾斯親王醫院的士站,Daytime,N,Y,平台,22.3796569700,114.2019608000
,urban,威爾斯親王醫院急症室,Daytime,Y,N,平台,22.3810228700,114.2018386000
,urban,麗豪酒店,Daytime,Y,N,,22.3821985800,114.1968159000
,urban,富豪花園的士站,Daytime,N,Y,入閘再出閘,22.3854243800,114.1991895000
,urban,第一城,Daytime,N,N,,22.3872669800,114.2032971000
,urban,廣源閘口,Daytime,Y,N,,22.3816206000,114.2138834000
,urban,廣源的士站,Daytime,N,Y,,22.3809833500,114.2163781000
,urban,禾輋的士站,"Daytime; Midnight",N,Y,,22.3877362800,114.1946373000
,urban,沙田娛樂城的士站,Daytime,N,Y,,22.3839004000,114.1920562000
,urban,穗禾苑的士站,Daytime,N,Y,,22.3927589900,114.1943903000
,urban,駿洋邨,"Daytime; Midnight",Y,N,,22.3987968600,114.1898394000
,urban,御龍山的士站,Daytime,N,Y,,22.3957266700,114.1989907000
,urban,駿景園的士站,Daytime,N,Y,,22.3995897200,114.2007048000
,urban,京瑞廣場,Daytime,Y,N,路口,22.3886896900,114.2081840000
,urban,京瑞廣場的士站,Daytime,N,Y,,22.3883685900,114.2078629000
,NT,富安花園,Daytime,N,Y,,22.4054608700,114.2236213000
,urban,富安花園,Daytime,N,Y,,22.4054905100,114.2237597000
,urban,富安花園,Midnight,Y,N,路口,22.4053126700,114.2231323000
,urban,錦泰,Daytime,Y,N,巴士站,22.4079926000,114.2201881000
,urban,耀安的士站,Daytime,N,Y,,22.4193088200,114.2298939000
,NT,耀安的士站,Daytime,N,Y,,22.4191803800,114.2298939000
,urban,新田圍的士站,Daytime,N,Y,,22.3696029100,114.1873126000
,urban,頌安的士站,Daytime,N,Y,,22.4224395200,114.2268311000
,NT,頌安的士站,Daytime,N,Y,,22.4224074100,114.2267891000
,urban,新港城的士站,Daytime,N,Y,,22.4239042200,114.2320650000
,NT,新港城的士站,Daytime,N,Y,,22.4239832600,114.2320427000
,urban,沙田馬場會員的士站,Daytime,N,Y,上一樓平台,22.4035355200,114.2065673000
,urban,沙田馬場看台的士站,Daytime,N,Y,,22.4017867700,114.2054657000
,urban,大學站的士站,Daytime,N,Y,,22.4129782600,114.2107046000
,NT,大學站的士站,Daytime,N,Y,,22.4129239200,114.2106626000
,NT,科學園的士站,Daytime,N,Y,,22.4250762300,114.2120211000
,urban,科學園的士站,Daytime,N,Y,,22.4251503200,114.2119124000
,NT,廣進街,Daytime,N,Y,,22.4461871600,114.1733702000
,urban,廣福邨的士站,"Daytime; Midnight",N,Y,,22.4486423200,114.1747361000
,NT,廣福邨的士站,"Daytime; Midnight",N,Y,,22.4487213600,114.1744916000
,urban,翠和里,"Daytime; Midnight",Y,N,路口,22.4524238600,114.1639102000
,urban,廣福道,"Daytime; Midnight",Y,N,,22.4483928500,114.1677090000
,urban,大埔火車站,Daytime,N,Y,,22.4441024900,114.1711954000
,NT,大埔火車站,Daytime,N,Y,,22.4441654800,114.1711497000
,NT,寶鄉街,Daytime,Y,N,,22.4482557700,114.1665283000
,NT,大埔中心的士站,"Daytime; Midnight",N,Y,,22.4520447200,114.1696924000
,urban,大埔中心的士站,"Daytime; Midnight",N,Y,,22.4525708300,114.1686278000
,urban,大埔中心,"Daytime; Midnight",Y,N,避車處,22.4528400500,114.1677460000
,NT,太和邨,Daytime,N,Y,,22.4516248200,114.1623071000
,NT,太和火車站,Daytime,N,Y,,22.4510270900,114.1604868000
,urban,太和火車站,Daytime,N,Y,,22.4507726800,114.1607066000
,NT,太和火車站,Daytime,N,Y,,22.4505083900,114.1610326000
,urban,長發的士站,"Daytime; Midnight",N,Y,,22.3614562900,114.1033931000
,urban,長安邨 船廠,Daytime,N,N,閘口,22.3622862100,114.1008342000
,urban,青衣城的士站,Daytime,N,Y,,22.3596285100,114.1067869000
,urban,青衣站的士站,Daytime,N,Y,機鐵站入面,22.3585639400,114.1071944000
,NT,青衣站的士站,Daytime,N,Y,機鐵站入面,22.3586281600,114.1072932000
,urban,宏福花園,Daytime,Y,N,燈位前,22.3548688500,114.1073105000
,urban,偉景花園的士站,Daytime,N,Y,,22.3555481000,114.1038204000
,urban,青怡花園,Daytime,Y,N,閘口,22.3538364000,114.1060582000
,urban,青衣碼頭的士站,Daytime,N,Y,,22.3537190700,114.1093124000
,urban,青衣碼頭太興,"Daytime; Midnight",Y,N,,22.3535535900,114.1093495000
,urban,翠怡花園,Daytime,Y,N,,22.3532152000,114.1085912000
,urban,長亨的士站,Daytime,N,Y,,22.3556604800,114.0975257000
,urban,長康邨的士站,Daytime,N,Y,,22.3496312600,114.0986075000
,urban,長青閘口,Daytime,Y,N,,22.3452754400,114.1078403000
,urban,青松樓閘口,Daytime,Y,N,,22.3477141400,114.1076419000
,urban,藍澄灣,Daytime,N,N,,22.3431496100,114.1099176000
,urban,青楊樓路口,Daytime,Y,N,,22.3500079300,114.1076814000
,NT,運頭塘的士站,"Daytime; Midnight",N,Y,,22.4422755300,114.1665201000
,urban,富善邨的士站,"Daytime; Midnight",N,Y,,22.4542302400,114.1746068000
,NT,富善邨的士站,"Daytime; Midnight",N,Y,,22.4541857800,114.1746142000
,NT,富亨邨的士站,"Daytime; Midnight",N,Y,,22.4583094200,114.1720319000
,urban,富亨邨的士站,"Daytime; Midnight",N,Y,,22.4584946600,114.1719911000
,NT,那打素醫院,Daytime,N,N,,22.4587169600,114.1744747000
,NT,大尾篤的士站,Daytime,N,Y,,22.4724154800,114.2326724000
,NT,花都麥當勞,"Daytime; Midnight",Y,N,閘口,22.4853291600,114.1406687000
,urban,花都麥當勞,"Daytime; Midnight",Y,N,閘口,22.4853933800,114.1406390000
,NT,華明的士站,Daytime,N,Y,,22.4842757100,114.1417505000
,urban,牽晴間,Midnight,Y,N,巴士站,22.4865913200,114.1434276000
,NT,粉嶺火車站的士站,Daytime,N,Y,,22.4928156800,114.1382827000
,NT,祥華邨的士站,Daytime,N,Y,,22.4928181500,114.1414590000
,NT,綠悠軒的士站,Daytime,N,Y,,22.5010876400,114.1447688000
,NT,聯和墟街市的士站,Daytime,N,Y,,22.5000428400,114.1442477000
,NT,上水火車站的士站,Daytime,N,Y,,22.5015643500,114.1272295000
,urban,上水火車站的士站,Daytime,N,Y,,22.5016384500,114.1270368000
,NT,上水廣場的士站,Daytime,N,Y,,22.5021559100,114.1276494000
,NT,北區醫院,"Daytime; Midnight",N,N,,22.4965632600,114.1250892000
,NT,清河邨的士站,Daytime,N,Y,,22.4946959500,114.1278964000
,urban,清河邨的士站,Daytime,N,Y,,22.4945897400,114.1277284000
,NT,香園圍口岸的士站,Daytime,N,Y,,22.5525947900,114.1534162000
,urban,香園圍口岸的士站,Daytime,N,Y,,22.5526441900,114.1534236000
,NT,新田皇巴站的士站,"Daytime; Midnight",N,Y,,22.5027357400,114.0824043000
,urban,新田皇巴站的士站,"Daytime; Midnight",N,Y,,22.5026542300,114.0822808000
,urban,新田皇巴站,"Daytime; Midnight",Y,N,站外避車處,22.5030914200,114.0816855000
,urban,落馬洲支線的士站,Daytime,N,Y,需先前往洲頭候籌區取籌 關口開放時間0630-2230,22.5153746400,114.0668076000
,NT,落馬洲支線的士站,Daytime,N,Y,需先前往洲頭候籌區取籌 關口開放時間0630-2230,22.5153548800,114.0666791000
,urban,落馬洲 (光明頂),Midnight,N,Y,需先前往皇巴站取籌 關口開放時間2230-0630,22.5079190000,114.0752018000
,NT,落馬洲 (光明頂),Midnight,N,Y,需先前往皇巴站取籌 關口開放時間2230-0630,22.5079856900,114.0752734000
,NT,博愛醫院,"Daytime; Midnight",N,N,,22.4452753200,114.0415261000
,NT,元朗西鐵站的士站,Daytime,N,Y,,22.4462361500,114.0354968000
,urban,元朗西鐵站的士站,Daytime,N,Y,,22.4462929600,114.0355018000
,urban,裕景坊的士站,Daytime,N,Y,,22.4435648600,114.0281437000
,NT,裕景坊的士站,Daytime,N,Y,,22.4435698000,114.0280894000
,NT,西裕街的士站,Daytime,N,Y,,22.4423780300,114.0267198000
,NT,朗屏邨的士站,Daytime,N,Y,,22.4501411900,114.0229456000
,NT,天耀邨的士站,"Daytime; Midnight",N,Y,,22.4504684600,114.0032562000
,urban,天耀邨的士站,"Daytime; Midnight",N,Y,,22.4503993000,114.0032907000
,NT,天慈邨的士站,Daytime,N,Y,,22.4533904500,114.0071229000
,NT,天瑞邨的士站,Daytime,N,Y,,22.4554726400,113.9986484000
,urban,天瑞邨的士站,Daytime,N,Y,,22.4555146300,113.9987546000
,NT,銀座的士站,Daytime,N,Y,,22.4582896600,114.0036137000
,NT,天悅邨的士站,Daytime,N,Y,,22.4627924300,113.9984885000
,NT,天恩邨的士站,Daytime,N,Y,,22.4626343500,113.9963989000
,NT,天頌77的士站,Daytime,N,Y,,22.4603607400,113.9976487000
,NT,俊宏軒的士站,Daytime,N,Y,,22.4684647500,114.0008621000
,urban,俊宏軒的士站,Daytime,N,Y,,22.4684548700,114.0009609000
,NT,天恆邨的士站,Daytime,N,Y,,22.4694008700,113.9993270000
,NT,洪福邨的士站,"Daytime; Midnight",N,Y,,22.4362216100,113.9972066000
,NT,天恆閘口,Daytime,Y,N,,22.4703024100,114.0009832000
,NT,流浮山,Daytime,Y,N,,22.4675755500,113.9840576000
,urban,深圳灣口岸的士站,Daytime,N,Y,口岸開放時間0630-0000,22.5015279200,113.9448812000
,NT,深圳灣口岸的士站,Daytime,N,Y,口岸開放時間0630-0000,22.5015229800,113.9447923000
,NT,天平邨的士站,Daytime,N,Y,,22.5029580400,114.1348278000
,NT,皇后山的士站,Daytime,N,Y,,22.5038694600,114.1568625000
,NT,大欖隧道轉車站,Daytime,Y,N,,22.4215375700,114.0640924000
,NT,錦上路站的士站,Daytime,N,Y,,22.4343641800,114.0651150000
,NT,欣田邨,"Daytime; Midnight",Y,N,巴士站,22.4143968500,113.9770305000
,NT,寶田邨的士站,Daytime,N,Y,,22.4102769200,113.9670493000
,NT,屯門醫院的士站,"Daytime; Midnight",N,Y,,22.4083157500,113.9764476000
,NT,建生邨的士站,Daytime,N,Y,,22.4072339000,113.9691241000
,NT,良景的士站,Daytime,N,Y,,22.4064583300,113.9638285000
,NT,富泰閘口,Daytime,N,N,,22.4126975000,113.9841910000
,urban,田景紅的站,Daytime,N,Y,,22.4050529100,113.9655649000
,NT,山景的士站,Daytime,N,Y,閘內，留意入閘時間,22.3970625200,113.9655562000
,NT,大興的士站,Daytime,N,Y,,22.4029250200,113.9703208000
,urban,石排頭路德雅,Midnight,N,N,,22.4007909500,113.9692069000
,NT,龍門居富健花園,"Daytime; Midnight",Y,N,,22.3843235900,113.9653531000
,urban,龍門居紅的站,Daytime,N,Y,,22.3849423200,113.9658150000
,NT,龍門居的士站,Daytime,N,Y,,22.3846138100,113.9658347000
,NT,新屯門中心的士站,Daytime,N,Y,,22.3807581700,113.9643453000
,NT,蝴蝶邨的士站,Daytime,N,Y,,22.3738866800,113.9638593000
,NT,屯門碼頭的士站,Daytime,N,Y,,22.3724923800,113.9674396000
,urban,屯門碼頭的士站,Daytime,N,Y,,22.3725072000,113.9674779000
,NT,兆麟的士站,Daytime,N,Y,,22.3849676400,113.9761395000
,urban,屯門市廣場紅的站,Daytime,N,Y,,22.3925727100,113.9756479000
,NT,屯門市廣場惖士站,Daytime,N,Y,,22.3929036900,113.9762753000
,NT,屯門市廣場惖士站,Daytime,N,Y,,22.3922195000,113.9764482000
,NT,屯盛街的士站,Daytime,N,Y,,22.3925356600,113.9780858000
,NT,屯利街的士站,Daytime,N,Y,,22.3913599500,113.9789997000
,NT,置樂的士站,Daytime,N,Y,,22.3875833500,113.9804768000
,NT,屯門站平台的士站,Daytime,N,Y,,22.3965768600,113.9735433000
,urban,屯門站的士站,Daytime,N,Y,,22.3953539100,113.9737547000
,urban,麗瑤的士站,Daytime,N,Y,,22.3529665500,114.1321028000
,urban,荔景站,Daytime,Y,N,巴士站頭,22.3480352400,114.1268096000
,urban,荔景站,Daytime,Y,N,小巴站尾,22.3480327700,114.1266762000
,urban,永得利廣場,PM,N,Y,大廈內設有的士站,22.3523305300,114.1242630000
,urban,葵涌嘉里中心,PM,N,Y,大廈內設有的士站,22.3628032600,114.1207260000
,urban,馬灣迴旋處,Daytime,N,N,,22.3498037400,114.0609352000
,urban,馬灣 (入村),Daytime,N,N,,22.3532222000,114.0598089000
,NT,黃金泳灘,Daytime,Y,N,,22.3730400900,113.9885178000
,urban,屯隆街,Daytime,Y,N,,22.3936348000,113.9758443000
,NT,蝴蝶灣公園的士站,Daytime,N,Y,,22.3743343600,113.9584729000
,urban,港珠澳的士站,"Daytime; Midnight",N,Y,,22.3158353200,113.9518188000
,NT,港珠澳的士站,"Daytime; Midnight",N,Y,,22.3158600200,113.9516879000
,lantau,港珠澳的士站,"Daytime; Midnight",N,Y,,22.3164182400,113.9521498000
,urban,機場的士站,"Daytime; Midnight",N,Y,需先去南商用停車場取籌,22.3171271200,113.9358380000
,NT,機場的士站,"Daytime; Midnight",N,Y,,22.3171839300,113.9360208000
,lantau,機場的士站,"Daytime; Midnight",N,Y,,22.3172209800,113.9361097000
,urban,博覽館的士站,Daytime,N,Y,,22.3199577200,113.9428701000
,lantau,博覽館的士站,Daytime,N,Y,,22.3201726100,113.9439297000
,lantau,東涌纜車站的士站,Daytime,N,Y,,22.2900989200,113.9388760000
,urban,東涌纜車站的士站,Daytime,N,Y,,22.2901211400,113.9388044000
,lantau,東涌站的士站,"Daytime; Midnight",N,Y,,22.2892437700,113.9418317000
,urban,東涌站的士站,Daytime,N,Y,,22.2888957900,113.9413973000
,urban,東涌喜來登酒店,Daytime,N,N,,22.2956210100,113.9464295000
,urban,愉景灣酒店的士站,Daytime,N,Y,,22.3074845600,114.0161819000
,lantau,愉景灣社區會堂的士站,Daytime,N,Y,,22.3081015600,114.0158216000
,NT,迪士尼的士站,PM,N,Y,,22.3162051500,114.0450707000
,urban,迪士尼的士站,PM,N,Y,,22.3163705000,114.0450633000
,lantau,迪士尼的士站,PM,N,Y,,22.3160669400,114.0450510000
,urban,迪士尼樂園酒店的士站,Daytime,N,Y,,22.3087420000,114.0447820000
,lantau,梅窩碼頭的士站,"Daytime; Midnight",N,Y,,22.2649798900,114.0014370000
,lantau,大澳的士站,"Daytime; Midnight",N,Y,,22.2525348300,113.8624845000
,lantau,昂坪的士站,Daytime,N,Y,,22.2557172800,113.9026434000
,urban,逸東迴旋處,"Daytime; Midnight",N,N,閘內，留意入閘時間,22.2814816900,113.9361720000
,urban,荃灣廣場,Daytime,Y,N,海貴路轉出海盛路西行路口,22.3701066100,114.1112747000
,urban,海盛路的士站,Daytime,N,Y,,22.3700054300,114.1121435000
,urban,梨木樹的士站,Daytime,N,Y,,22.3777400600,114.1363617000
,urban,象山的士站,Daytime,N,Y,,22.3786075500,114.1312407000
,urban,石圍角,Daytime,Y,N,,22.3752128500,114.1236998000
,urban,四號櫃的士站,Daytime,N,Y,,22.3417520700,114.1274511000
,urban,三號櫃的士站,Daytime,N,Y,跟上落客/各類車輛進入ATL大廈內，入閘後左邊,22.3434500300,114.1244056000
,urban,觀海徑的士站,Daytime,N,Y,,22.2470830700,114.1586734000
,urban,富榮花園的士站,Daytime,N,Y,,22.3145574700,114.1643312000
,urban,廟街,"Daytime; Midnight",Y,N,,22.3054185600,114.1697238000
,urban,伊利沙伯醫院日間醫療中心的士站,Daytime,N,Y,,22.3084443000,114.1752224000
,urban,陽明山莊的士站,Daytime,N,Y,,22.2579952200,114.1995455000
,urban,沙田站的士站,Daytime,N,Y,,22.3843776700,114.1877622000
,NT,天水圍站,Daytime,Y,N,,22.4470099000,114.0032047000
,NT,天水圍站的士站,Daytime,N,Y,,22.4499739400,114.0060367000
,NT,元朗廣場,Daytime,Y,N,,22.4446554500,114.0241170000
,urban,元朗大馬路,"Daytime; Midnight",Y,N,,22.4446073300,114.0277030000
,NT,粉嶺中心,Daytime,Y,N,,22.4909373600,114.1418492000
,NT,井財街,Midnight,Y,N,,22.4026739900,113.9777845000
,urban,深灣巴士總站的士站,Daytime,N,Y,,22.2431485000,114.1640524000
,urban,深灣9號,Daytime,N,N,,22.2461248800,114.1639561000
